age,workclass,fnlwgt,education,occupation,relationship,race,sex,target,predicted_salary
"25"," Private","226802"," 11th"," Machine-op-inspct"," Own-child"," Black"," Male","0","0"
"38"," Private","89814"," HS-grad"," Farming-fishing"," Husband"," White"," Male","0","0"
"28"," Local-gov","336951"," Assoc-acdm"," Protective-serv"," Husband"," White"," Male","1","1"
"44"," Private","160323"," Some-college"," Machine-op-inspct"," Husband"," Black"," Male","1","1"
"18"," ?","103497"," Some-college"," ?"," Own-child"," White"," Female","0","0"
"34"," Private","198693"," 10th"," Other-service"," Not-in-family"," White"," Male","0","0"
"29"," ?","227026"," HS-grad"," ?"," Unmarried"," Black"," Male","0","0"
"63"," Self-emp-not-inc","104626"," Prof-school"," Prof-specialty"," Husband"," White"," Male","1","1"
"24"," Private","369667"," Some-college"," Other-service"," Unmarried"," White"," Female","0","0"
"55"," Private","104996"," 7th-8th"," Craft-repair"," Husband"," White"," Male","0","0"
"65"," Private","184454"," HS-grad"," Machine-op-inspct"," Husband"," White"," Male","1","1"
"36"," Federal-gov","212465"," Bachelors"," Adm-clerical"," Husband"," White"," Male","0","1"
"26"," Private","82091"," HS-grad"," Adm-clerical"," Not-in-family"," White"," Female","0","0"
"58"," ?","299831"," HS-grad"," ?"," Husband"," White"," Male","0","0"
"48"," Private","279724"," HS-grad"," Machine-op-inspct"," Husband"," White"," Male","1","1"
"43"," Private","346189"," Masters"," Exec-managerial"," Husband"," White"," Male","1","1"
"20"," State-gov","444554"," Some-college"," Other-service"," Own-child"," White"," Male","0","0"
"43"," Private","128354"," HS-grad"," Adm-clerical"," Wife"," White"," Female","0","1"
"37"," Private","60548"," HS-grad"," Machine-op-inspct"," Unmarried"," White"," Female","0","0"
"40"," Private","85019"," Doctorate"," Prof-specialty"," Husband"," Asian-Pac-Islander"," Male","1","1"
"34"," Private","107914"," Bachelors"," Tech-support"," Husband"," White"," Male","1","1"
"34"," Private","238588"," Some-college"," Other-service"," Own-child"," Black"," Female","0","0"
"72"," ?","132015"," 7th-8th"," ?"," Not-in-family"," White"," Female","0","0"
"25"," Private","220931"," Bachelors"," Prof-specialty"," Not-in-family"," White"," Male","0","0"
"25"," Private","205947"," Bachelors"," Prof-specialty"," Husband"," White"," Male","0","0"
"45"," Self-emp-not-inc","432824"," HS-grad"," Craft-repair"," Husband"," White"," Male","1","1"
"22"," Private","236427"," HS-grad"," Adm-clerical"," Own-child"," White"," Male","0","0"
"23"," Private","134446"," HS-grad"," Machine-op-inspct"," Unmarried"," Black"," Male","0","0"
"54"," Private","99516"," HS-grad"," Craft-repair"," Husband"," White"," Male","0","1"
"32"," Self-emp-not-inc","109282"," Some-college"," Prof-specialty"," Not-in-family"," White"," Male","0","0"
"46"," State-gov","106444"," Some-college"," Exec-managerial"," Husband"," Black"," Male","1","1"
